docId,filename,0 fhir resource patient,1 image images dicom,2 type device list,3 message messages send,4 heart rate watch,5 niftynet image label,6 dicom file image,7 app healthkit health,8 segment field segments,9 oauth url information,10 google fit api,11 python pydicom frame,12 data read information,13 database document xml,14 server request service,15 class project create,16 code method function,17 dicom server study,18 error code project,19 find don set
0,file0000.txt,0.006068534965882299,0.005918157319463288,0.004834836743233465,0.23678346079084195,0.003244609472719106,0.001223022745865798,0.010681118653961813,0.006891405161165189,0.004603894795548653,0.0023923937115857153,0.006537420618363106,0.002773967409723015,0.06843141970402619,0.005328360501252023,0.004357975341087582,0.5870736493533348,0.007983201871962782,0.002700529321098903,0.011918498239107074,0.020253543279777242
1,file0001.txt,0.006068534965882299,0.005918157319463288,0.004834836743233465,0.7587176357598087,0.003244609472719106,0.001223022745865798,0.010681118653961813,0.006891405161165189,0.004603894795548653,0.0023923937115857153,0.06453010672602609,0.002773967409723015,0.01043873359636322,0.005328360501252023,0.004357975341087582,0.007146788276705049,0.007983201871962782,0.002700529321098903,0.06991118434677004,0.020253543279777242
2,file0002.txt,0.006893526029704692,0.08800385247225771,5.202690860448823E-4,5.178887468358995E-4,3.49147260723261E-4,1.3160753092526404E-4,0.05731388395162341,7.415731399374091E-4,4.954177906584229E-4,2.57441679189729E-4,7.034814267445275E-4,2.985022174729495E-4,0.02608529807304026,5.733763920744196E-4,4.6895478960835016E-4,0.5499331109775146,0.007099560287779903,2.9059966165184074E-4,0.1760165485909144,0.08330595989529804
3,file0003.txt,0.0022149711560946195,0.002160084408104847,0.001764680271415656,0.0017566064923770013,0.0011842588755388874,4.463944132431195E-4,0.02506543961292922,0.0025153127967061533,0.001680388139009725,8.73206316677139E-4,0.7643948326786518,0.001012477943198219,0.13081151550458628,0.0019448128561340824,0.022757538260690286,0.002608525777739398,0.0029138106609075598,9.85673574602564E-4,0.02551707416816303,0.007392396093230437
4,file0004.txt,0.08334717249944693,0.12427100540363975,0.0011382539894050812,0.001133046240812215,7.63870606707206E-4,2.879333043795557E-4,0.28922928174604967,0.001622426947152094,0.2604923782440806,5.632354991616257E-4,0.028845246518650548,6.530684774446443E-4,0.04341680190324329,0.0012544431011092165,0.0010259876560804852,0.015335629830629973,0.001879466021620114,6.357791248170361E-4,0.0028059433831695716,0.14129902950240042
5,file0005.txt,0.0018280330624586122,0.0017827345989819836,0.0014564044646540996,0.5429954343685546,0.07085424178169021,3.6841280937672665E-4,0.020686703847775545,0.019545123284917153,0.0013868375068545832,7.206640198637992E-4,0.001969276126899418,8.356059852444293E-4,0.0031444739548559387,0.2985817397950208,0.0013127588542664352,0.0021528367775185083,0.002404790785300799,8.134841296724684E-4,0.003590225475906907,0.02357021837018705
6,file0006.txt,0.006068534965882299,0.005918157319463288,0.004834836743233465,0.00481271636019007,0.4671860983340229,0.001223022745865798,0.010681118653961813,0.06488409126882816,0.004603894795548653,0.0023923937115857153,0.006537420618363106,0.002773967409723015,0.06843141970402619,0.005328360501252023,0.004357975341087582,0.007146788276705049,0.007983201871962782,0.002700529321098903,0.011918498239107074,0.3102169738180921
7,file0007.txt,0.19113078065702674,0.006282496146457393,0.005132483232275672,0.005109001054677715,0.0034443569862663884,0.0012983155521503504,0.07290156217351151,0.007315659931227259,0.0048873238324716834,0.00253967636588769,0.0069398830794112866,0.0029447408409825305,0.011081372132059978,0.0056563897356969,0.004626264867393226,0.007586765167644826,0.008474670795257955,0.002866781691896236,0.1357780014742553,0.5140034742834493
8,file0008.txt,0.0016546051362209169,0.017425492378185456,0.0013182334374142683,0.001312202245437202,8.846529728796816E-4,3.33460996501047E-4,0.018724128759452,0.01769085146184392,0.0012552663893612465,6.522936664791597E-4,0.001782448283414886,7.563309348370581E-4,0.05028181807151877,0.0014527942415384035,0.0011882156770005943,0.0019485942911429473,0.017988533267345747,0.6015880586493275,0.25623982689340435,0.005522192246694888
9,file0009.txt,0.002809697204786763,0.002740073209014914,0.0022385019381837533,0.002228260326533617,0.0015022357483933692,5.662525815158025E-4,0.434549843237009,0.0031906814292473585,0.0021315771287320393,0.0011076646937000093,0.003026788597445222,0.37718830889381727,0.004833074337069622,0.002467000633700291,0.002017717818752518,0.0033089223605291566,0.11109731360112358,0.0012503297299256999,0.00551819695790554,0.03622755957261443
