docId,filename,0 fhir resource patient,1 data database information,2 error code problem,3 dicom image file,4 find type set,5 tag data values,6 app healthkit data,7 google fit api,8 server send application,9 hl7 message xml
0,10008944.txt,0.004281056777215856,0.00675354480972156,0.05512729712211758,0.008147176987959864,0.011882227696520005,0.04855935457461413,0.006137732335198059,0.004766255204234182,0.22671063273061456,0.6276347217618041
1,1003341.txt,0.024111098945960103,0.11331613647134714,0.2911883260981926,0.004025483439439641,0.18183773982338586,0.0019971102097163193,0.003032625890853508,0.002354985220174061,0.375966879086125,0.0021696148148057145
2,10088701.txt,0.1087781425981222,0.005329903931709671,0.008373338683657132,0.8496259881845056,0.009377465301775731,0.003189912232293274,0.004843904146169788,0.003761533101255429,0.0032543641935137146,0.0034654476269972787
3,1008897.txt,0.003501637699388102,0.733773211123861,0.008678232557052563,0.043076344754789525,0.009718921897108492,0.003306064789002061,0.04143274423344335,0.003898499780912771,0.14902271005875323,0.003591633105688883
4,10107569.txt,0.004940928717465913,0.0077945201924528515,0.012245278392302411,0.009402963530015953,0.013713726098112047,0.004664968754659471,0.0070837878433421516,0.005500914479505541,0.004759224133295304,0.9298936878588483
5,10107944.txt,0.004940928717465913,0.059173729780916354,0.012245278392302411,0.009402963530015953,0.013713726098112047,0.004664968754659471,0.0070837878433421516,0.005500914479505541,0.004759224133295304,0.8785144782703849
6,10140652.txt,0.00919093592743372,0.3967940322762758,0.022778221575914994,0.11306478814141745,0.2166572492271583,0.008677605239677547,0.01317700455008452,0.010232601078559608,0.20000041029528234,0.009427151688195716
7,10193971.txt,0.03091001998381609,0.00427784416302846,0.0067205410213563,0.7383165119052316,0.007526464964319808,0.19994839114536408,0.003887774966201871,0.0030190511175090346,0.0026119913319199023,0.0027814094012527245
8,10241062.txt,0.004940928717465913,0.0077945201924528515,0.21776211674615642,0.36905743064926044,0.37336819321735654,0.004664968754659471,0.0070837878433421516,0.005500914479505541,0.004759224133295304,0.005067915266505308
9,10280068.txt,8.117793191952302E-4,0.0012806155800053807,0.1117506510368157,0.0015448778497514503,0.019136013531697228,7.664399501125999E-4,0.0011638444514417167,9.037832493593346E-4,0.017664816531215217,0.8449771785004061
10,10294231.txt,0.002319311782094706,0.1724835176387398,0.22280837000094236,0.5591235785006597,0.006437333613686233,0.002189773950297841,0.0033251871351321605,0.0025821736143475512,0.002234018185075631,0.026496735579023916
