UserID,Country,Latitude,Longitude
4601340,France,46.227638,2.213749
1243605,France,46.227638,2.213749
2186929,France,46.227638,2.213749
2679085,France,46.227638,2.213749
862637,France,46.227638,2.213749
11343,France,46.227638,2.213749
8072442,France,46.227638,2.213749
3515965,France,46.227638,2.213749
5284178,France,46.227638,2.213749
11190052,France,46.227638,2.213749
9591312,France,46.227638,2.213749
9502727,France,46.227638,2.213749
6309717,France,46.227638,2.213749
9574661,France,46.227638,2.213749
3911313,France,46.227638,2.213749
1075027,France,46.227638,2.213749
8562879,France,46.227638,2.213749
4301835,France,46.227638,2.213749
8404,France,46.227638,2.213749
3375166,France,46.227638,2.213749
429766,France,46.227638,2.213749
4858605,France,46.227638,2.213749
6491071,France,46.227638,2.213749
136285,France,46.227638,2.213749
4235719,Germany,51.165691,10.451526
1132587,Germany,51.165691,10.451526
385536,Germany,51.165691,10.451526
829236,Germany,51.165691,10.451526
552521,Germany,51.165691,10.451526
1106437,Germany,51.165691,10.451526
1314621,Germany,51.165691,10.451526
1124160,Germany,51.165691,10.451526
1610530,Germany,51.165691,10.451526
1040498,Germany,51.165691,10.451526
20954,Germany,51.165691,10.451526
1148189,Germany,51.165691,10.451526
4420255,Germany,51.165691,10.451526
683408,Germany,51.165691,10.451526
8759433,Germany,51.165691,10.451526
7209846,Germany,51.165691,10.451526
1367715,Germany,51.165691,10.451526
184925,Germany,51.165691,10.451526
281188,Germany,51.165691,10.451526
7315598,Germany,51.165691,10.451526
321106,Germany,51.165691,10.451526
433718,Germany,51.165691,10.451526
226021,Germany,51.165691,10.451526
6167328,Germany,51.165691,10.451526
1041336,Germany,51.165691,10.451526
1612039,Germany,51.165691,10.451526
1844976,Germany,51.165691,10.451526
2575298,Germany,51.165691,10.451526
3612433,Germany,51.165691,10.451526
1197351,Germany,51.165691,10.451526
2675038,Germany,51.165691,10.451526
1770703,Germany,51.165691,10.451526
8609344,Germany,51.165691,10.451526
10344908,Germany,51.165691,10.451526
11480375,Germany,51.165691,10.451526
4357868,Germany,51.165691,10.451526
3826539,Germany,51.165691,10.451526
6937062,Germany,51.165691,10.451526
708157,Germany,51.165691,10.451526
1228509,Germany,51.165691,10.451526
2451537,Germany,51.165691,10.451526
2572346,Germany,51.165691,10.451526
4265664,Germany,51.165691,10.451526
2788152,Germany,51.165691,10.451526
9349764,Germany,51.165691,10.451526
1056342,Germany,51.165691,10.451526
2967869,Germany,51.165691,10.451526
2545854,Germany,51.165691,10.451526
4651358,Germany,51.165691,10.451526
10075425,Germany,51.165691,10.451526
918427,Germany,51.165691,10.451526
4566480,Germany,51.165691,10.451526
4990055,Germany,51.165691,10.451526
11089882,Germany,51.165691,10.451526
1420433,Greece,39.074208,21.824312
1738733,Greece,39.074208,21.824312
2010599,Greece,39.074208,21.824312
1665465,Greece,39.074208,21.824312
2710256,Hungary,47.162494,19.5033041
8294110,Hungary,47.162494,19.5033041
851490,Hungary,47.162494,19.5033041
3270826,India,20.593684,78.96288
1326692,India,20.593684,78.96288
822673,India,20.593684,78.96288
741505,India,20.593684,78.96288
645799,India,20.593684,78.96288
3313096,India,20.593684,78.96288
799043,India,20.593684,78.96288
1079851,India,20.593684,78.96288
2128941,India,20.593684,78.96288
5928577,India,20.593684,78.96288
2540621,India,20.593684,78.96288
7341299,India,20.593684,78.96288
4377727,India,20.593684,78.96288
7439239,India,20.593684,78.96288
2114999,India,20.593684,78.96288
1374327,India,20.593684,78.96288
1136010,India,20.593684,78.96288
2207234,India,20.593684,78.96288
2823164,India,20.593684,78.96288
4659743,India,20.593684,78.96288
3752253,India,20.593684,78.96288
3106755,India,20.593684,78.96288
5602551,India,20.593684,78.96288
1045149,India,20.593684,78.96288
2032007,India,20.593684,78.96288
1529301,India,20.593684,78.96288
384353,India,20.593684,78.96288
442062,India,20.593684,78.96288
1045595,India,20.593684,78.96288
3626851,India,20.593684,78.96288
2282655,India,20.593684,78.96288
392315,India,20.593684,78.96288
836487,India,20.593684,78.96288
1072666,India,20.593684,78.96288
3848582,India,20.593684,78.96288
3986542,India,20.593684,78.96288
4312306,India,20.593684,78.96288
1827114,India,20.593684,78.96288
1810390,India,20.593684,78.96288
1905874,India,20.593684,78.96288
5445232,India,20.593684,78.96288
4264419,India,20.593684,78.96288
6751452,India,20.593684,78.96288
7978753,India,20.593684,78.96288
8461825,India,20.593684,78.96288
7429014,India,20.593684,78.96288
1852663,India,20.593684,78.96288
3797462,India,20.593684,78.96288
2846511,India,20.593684,78.96288
5992871,India,20.593684,78.96288
10263448,India,20.593684,78.96288
2297832,India,20.593684,78.96288
6072279,India,20.593684,78.96288
5218360,India,20.593684,78.96288
6005797,India,20.593684,78.96288
9851073,India,20.593684,78.96288
5685410,India,20.593684,78.96288
6700116,India,20.593684,78.96288
3259923,India,20.593684,78.96288
553845,India,20.593684,78.96288
4575744,India,20.593684,78.96288
291789,India,20.593684,78.96288
1439333,India,20.593684,78.96288
1641882,India,20.593684,78.96288
4643958,India,20.593684,78.96288
1556826,India,20.593684,78.96288
1614355,India,20.593684,78.96288
7037026,India,20.593684,78.96288
998702,India,20.593684,78.96288
3197387,India,20.593684,78.96288
6748512,India,20.593684,78.96288
366306,India,20.593684,78.96288
5665836,India,20.593684,78.96288
2414088,India,20.593684,78.96288
1556934,India,20.593684,78.96288
1706313,India,20.593684,78.96288
1920908,India,20.593684,78.96288
9097437,India,20.593684,78.96288
943933,India,20.593684,78.96288
459197,India,20.593684,78.96288
585577,India,20.593684,78.96288
876554,India,20.593684,78.96288
3633898,India,20.593684,78.96288
5577106,India,20.593684,78.96288
7184389,India,20.593684,78.96288
4535836,India,20.593684,78.96288
7458887,India,20.593684,78.96288
7527442,India,20.593684,78.96288
2046462,India,20.593684,78.96288
3640951,India,20.593684,78.96288
9548769,India,20.593684,78.96288
9756696,India,20.593684,78.96288
10904369,India,20.593684,78.96288
8270913,India,20.593684,78.96288
10694083,India,20.593684,78.96288
10901791,India,20.593684,78.96288
2960703,India,20.593684,78.96288
1829753,India,20.593684,78.96288
1299927,India,20.593684,78.96288
7189035,India,20.593684,78.96288
2021389,India,20.593684,78.96288
1987246,India,20.593684,78.96288
3528215,India,20.593684,78.96288
7235676,India,20.593684,78.96288
8894225,India,20.593684,78.96288
1535723,India,20.593684,78.96288
5034777,India,20.593684,78.96288
4209405,India,20.593684,78.96288
6170079,India,20.593684,78.96288
5431853,India,20.593684,78.96288
2486273,India,20.593684,78.96288
397895,India,20.593684,78.96288
3285162,India,20.593684,78.96288
932338,India,20.593684,78.96288
1717292,India,20.593684,78.96288
1996294,India,20.593684,78.96288
488499,India,20.593684,78.96288
3085578,India,20.593684,78.96288
5060185,India,20.593684,78.96288
8180985,India,20.593684,78.96288
843266,India,20.593684,78.96288
4663645,India,20.593684,78.96288
5056575,India,20.593684,78.96288
7697327,India,20.593684,78.96288
6848035,India,20.593684,78.96288
1280785,India,20.593684,78.96288
885321,India,20.593684,78.96288
213532,India,20.593684,78.96288
1328931,India,20.593684,78.96288
333382,India,20.593684,78.96288
2628841,India,20.593684,78.96288
1271244,India,20.593684,78.96288
227886,India,20.593684,78.96288
1402607,India,20.593684,78.96288
607608,India,20.593684,78.96288
1634945,India,20.593684,78.96288
1616482,India,20.593684,78.96288
5327912,India,20.593684,78.96288
5397786,India,20.593684,78.96288
119570,India,20.593684,78.96288
59249,India,20.593684,78.96288
1353243,India,20.593684,78.96288
990883,India,20.593684,78.96288
7576100,India,20.593684,78.96288
397636,India,20.593684,78.96288
1722444,India,20.593684,78.96288
486565,India,20.593684,78.96288
4960120,India,20.593684,78.96288
3237814,India,20.593684,78.96288
4264333,India,20.593684,78.96288
1616483,India,20.593684,78.96288
6711752,India,20.593684,78.96288
2407961,India,20.593684,78.96288
4000434,India,20.593684,78.96288
9235408,India,20.593684,78.96288
12146783,India,20.593684,78.96288
6134118,India,20.593684,78.96288
5259585,India,20.593684,78.96288
2268891,India,20.593684,78.96288
2653046,India,20.593684,78.96288
1630200,India,20.593684,78.96288
6294875,India,20.593684,78.96288
3643590,India,20.593684,78.96288
4795672,India,20.593684,78.96288
444341,India,20.593684,78.96288
1391774,India,20.593684,78.96288
5421528,India,20.593684,78.96288
1828892,India,20.593684,78.96288
4976228,India,20.593684,78.96288
3052719,India,20.593684,78.96288
2017230,India,20.593684,78.96288
1847976,India,20.593684,78.96288
2067264,India,20.593684,78.96288
1346335,India,20.593684,78.96288
6669086,India,20.593684,78.96288
4723522,India,20.593684,78.96288
2306108,India,20.593684,78.96288
987653,India,20.593684,78.96288
7000934,India,20.593684,78.96288
5320644,India,20.593684,78.96288
5512020,India,20.593684,78.96288
9711565,India,20.593684,78.96288
5672996,India,20.593684,78.96288
8409258,India,20.593684,78.96288
3729214,India,20.593684,78.96288
2525302,India,20.593684,78.96288
954135,India,20.593684,78.96288
939501,India,20.593684,78.96288
1277825,India,20.593684,78.96288
961483,India,20.593684,78.96288
2515337,India,20.593684,78.96288
1873106,India,20.593684,78.96288
1871935,India,20.593684,78.96288
3075488,India,20.593684,78.96288
2854494,India,20.593684,78.96288
1755407,India,20.593684,78.96288
3848825,India,20.593684,78.96288
2439117,India,20.593684,78.96288
5902175,India,20.593684,78.96288
7511812,India,20.593684,78.96288
5589073,India,20.593684,78.96288
7930548,India,20.593684,78.96288
441343,India,20.593684,78.96288
2169322,India,20.593684,78.96288
4427696,India,20.593684,78.96288
207817,India,20.593684,78.96288
513335,India,20.593684,78.96288
928380,India,20.593684,78.96288
3141464,India,20.593684,78.96288
1203425,India,20.593684,78.96288
5143677,India,20.593684,78.96288
1993446,India,20.593684,78.96288
5779732,India,20.593684,78.96288
7098029,India,20.593684,78.96288
2781191,India,20.593684,78.96288
8138440,India,20.593684,78.96288
1957401,India,20.593684,78.96288
1367230,India,20.593684,78.96288
1966728,India,20.593684,78.96288
8293726,India,20.593684,78.96288
2659493,India,20.593684,78.96288
7806560,India,20.593684,78.96288
7368673,India,20.593684,78.96288
8403513,India,20.593684,78.96288
563874,India,20.593684,78.96288
1374307,India,20.593684,78.96288
3770046,India,20.593684,78.96288
3771048,India,20.593684,78.96288
